mof_name,mof_type,nco2_max,eads_min,eads_mean,n_configs
ADOBEB_charged,pristine,1,-0.14638632000014695,-0.030647558998495562,699
AJAKON,pristine,1,-0.2182102799994574,-0.08820491051553257,717
ANUGEW_deen_33,functionalized,1,-0.27246451999977594,0.02076996509892046,253
AQUCOG_0.11_0_deen_11,functionalized,1,-0.24028365999985013,-0.16427121915366683,449
AQUCOG_0.11_0_dmen_5.5,functionalized,1,-0.15171734999981723,-0.07549468118859837,286
ATOWIQ,pristine,1,-0.3913172799999849,-0.1803565674655507,943
ATOWIQ_0.04_1,defective,1,0.30415063999984326,0.5368817628484194,1025
ATOWIQ_0.16_0,defective,1,-0.3030336500000068,-0.1893464655891815,331
ATOWIQ_0.16_1,defective,1,-0.37520257000005586,-0.16950996752481745,905
BETGEO,pristine,1,0.016776609999933356,0.019693057500003164,4
CAXVOO_0.08_0_eeen_14,functionalized,1,-0.26529614999995843,-0.11427917976077602,1087
CAXVOO_0.08_0_eeen_19,functionalized,1,-0.16415754999994547,-0.05355086801230878,493
CAXVOO_0.08_0_een_33,functionalized,1,-0.35369993999998783,-0.018291034007243516,1637
CAXVOO_0.08_0_mmen_14,functionalized,1,-0.26130773999981116,-0.09552780809311727,902
CAXVOO_0.08_0_nmen_9.5,functionalized,1,-0.26543045000031285,-0.13941965506492457,618
CAXVOO_nmen_16,functionalized,1,-0.2744062099999134,0.21499975023336923,643
CAXWEF_0.08_0_en_60,functionalized,1,-0.19215769000007654,-0.09863613425381373,268
CAXWEF_0.08_0_mmen_60,functionalized,1,-0.19967953999972465,0.007965562075741364,424
CITZIP_manual,pristine,1,-0.2931850399999121,-0.23110014528421885,299
COKMIA_0.05_0_een_5.5,functionalized,1,-0.24883673999980616,-0.08359040431882628,815
COKMIA_0.05_0_nmen_13,functionalized,1,-0.38669608000023814,-0.08448177363809069,1182
COKMUM_deen_16,functionalized,1,-0.26319273999994053,-0.11431376530279302,66
COKNAT_0.11_0_mmen_20,functionalized,1,-0.2733760000000167,0.17287114001037177,1951
COKPEZ_mmen_5.5,functionalized,1,-0.3889329300001556,-0.25492495039009244,641
COKQIE,pristine,1,0.08714801000004613,0.2249370125107021,705
COKQIE_0.11_0,defective,1,-0.19549481000004576,-0.06149653602017033,691
CUKXAJ,pristine,1,0.033127080000067366,0.15317573268587656,1009
CUSYIA,pristine,1,-0.08241644999990072,-0.01785666802684997,223
DAGDIZ,pristine,1,-0.25966347999989026,-0.1329413456628198,611
DEBWAK,pristine,1,-0.21666861000008808,0.1907156350899065,668
DEBWAK_0.08_1,defective,1,-0.2795437199999107,-0.04764569108783022,809
DICVAO,pristine,1,-0.19950519,-0.0806489867099336,772
ECEDAU,pristine,1,-0.28944371999998353,-0.2184799659064114,855
ELIKAM,pristine,1,-0.2164947600000211,-0.1548629503564777,533
ENITAX,pristine,1,-0.202151679999929,-0.054870040294083405,68
ENITAX_0.06_0,defective,1,-0.07682215000014381,0.056326936955259026,335
ENITAX_0.12_0,defective,1,-0.14476320999995096,-0.09875565055144536,272
EPONEE,pristine,1,-0.3873819799998728,-0.11744124572279746,996
EQERAU,pristine,1,-0.25115829000006684,-0.11681203584937143,571
EWASIG01,pristine,1,-0.08511329000001311,0.036726529526032066,211
EZABEN,pristine,1,-0.33092160999999365,-0.24457033187074015,882
EZABEN_0.02_0,defective,1,-0.18282059000026507,-0.06903204386469189,960
FAHPOV,pristine,1,-0.31713477999997863,-0.22520763473700184,589
FAHPOV_0.08_0,defective,1,-0.18009252000016218,-0.06130422108569618,737
FAKLUA,pristine,1,-0.2134437899999604,-0.16652327984692564,196
FAKLUA_0.08_0,defective,1,-0.16253099000019589,-0.06537981826860742,514
FERWAC,pristine,1,-0.07490125000015269,0.10722773609308048,494
FERWAC_0.07_1,defective,1,-0.21851870000011786,-0.15516647489249513,372
FIJZEE,pristine,1,0.15743317000018564,0.23661222654924133,794
FIJZEE_0.02_0,defective,1,-0.17318093000008972,-0.11461090748596206,179
FIJZEE_0.04_0,defective,1,-0.41859226999978105,-0.148677619521122,1149
FUBNOH,pristine,1,-0.18620708000003106,-0.10915431568903378,733
GACVIS,pristine,1,-0.18371045000006703,-0.014792056195568762,757
GACVIS_0.12_0,defective,1,-0.10341340999972104,0.07826797361060381,1263
GAGSUF_0.08_0_linker_0_27,functionalized,1,-0.21462792000003006,-0.14195954853843573,390
HAHPIQ_charged,pristine,1,-0.10123767999994016,-0.002202357984772937,392
HAHPIQ_charged_0.08_0,defective,1,0.6079829700000481,0.6984052809845719,386
HAVVUX,pristine,1,-0.22669835000002436,-0.08235083642698976,417
HAVVUX_0.08_0,defective,1,-0.4722919799998273,-0.24312302040079234,474
HAXMUP,pristine,1,-0.3066532500000996,-0.2442680227397952,219
HUCXAG,pristine,1,0.34257575999989953,0.48189532139255686,1149
IBUBIT_0.03_1_dmen_11,functionalized,1,-0.1178857100000279,0.025562371874819995,560
IBUBIT_deen_75,functionalized,1,-0.19842315000019894,0.08917310178069993,1432
IBUBIT_dmen_100,functionalized,1,-0.20305445999989402,0.09511961929769688,1424
IBUBIT_eeen_12,functionalized,1,-0.26315462000016865,-0.12389554936367597,330
IHILUI,pristine,1,-0.2326089299999694,-0.16037883670242234,373
IJUTEM,pristine,1,-0.379401220000009,-0.24796441970578695,748
IJUTEM_0.04_0,defective,1,-0.2951284600000328,-0.13806362192205973,1233
IRISAD,pristine,1,0.2766776100000037,0.46546574762041926,1038
ITIWUE_charged,pristine,1,-0.13219296000002956,0.1137876167450098,977
JOFKIA,pristine,1,-0.2862973200000489,-0.2138640665926783,766
JOFKIA_0.04_0,defective,1,-0.1846402899999795,-0.001611474470357202,472
JOFKIA_0.05_0,defective,1,-0.23686411999998214,0.006683392572004116,1143
JOFKIA_0.08_0,defective,1,-0.14966403000008555,-0.0430387212539483,630
JOFKIA_0.16_0,defective,1,-0.28823990999999083,-0.1885939413136827,883
JOKYEN,pristine,1,0.1828406299998413,0.3897192779844537,1424
