split,chunk_file,mof_name,sample_name,energy_ads_corrected,n_atoms
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,0.4287898540496826,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,0.30588069558143616,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,0.4063342213630676,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,0.40762680768966675,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,0.39678892493247986,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,0.4045484960079193,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.01931975968182087,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.020728079602122307,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.02160201035439968,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.023275429382920265,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.0241528507322073,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.026104159653186798,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.02738168090581894,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.027279119938611984,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.02827787958085537,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.028633879497647285,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.029356539249420166,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.029999060556292534,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.030726630240678787,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.03241772949695587,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.03348448872566223,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.033376168459653854,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.034149859100580215,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.03489391878247261,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.03535635024309158,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.03635549172759056,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.036470189690589905,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.03673825040459633,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.037558089941740036,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.03933310881257057,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.039988718926906586,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.04021349176764488,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.041953351348638535,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.044318780303001404,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.04553905874490738,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.04558391869068146,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.046958379447460175,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.0472671203315258,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.048514679074287415,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.049423348158597946,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.05073713883757591,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.051304448395967484,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.05210768058896065,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.05217321962118149,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.0527806393802166,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.05311185121536255,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.05369672179222107,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.05498361960053444,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.05556926876306534,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.05564961954951286,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.056566230952739716,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.049417831003665924,121
train,train_part_000.pt,NALYEG_linker_0_16,NALYEG_linker_0_16_w_CO2_1,-0.05009165033698082,121
